uuid,code,column,value_from,value_to,ruleset,message,severity
01c8fa45-a4c9-4c6d-b361-7bb7352cbc05,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
09fadd14-521e-4360-87f6-2bab4009fc57,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
149af190-b2dc-4aaf-a875-49593b1d1537,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
14efcef0-685e-4af9-9574-4afd1e1fae83,DUPLICATE_UUID_DROPPED,uuid,7 rows,1 row,NA,UUID deleted when all values identical,NA
17d2f1fc-2a2e-4a17-8ba0-a5f3ba74da0c,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
22885ab6-d2cf-42ff-98fd-30f8ee52f782,DUPLICATE_UUID_DROPPED,uuid,3 rows,1 row,NA,UUID deleted when all values identical,NA
240f82b7-ac49-4319-96ab-6673b1490d8a,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
256add6b-40c1-4815-b2d6-f03dd4ed704b,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
25780fe3-01e7-42c3-b8af-d13cef69405e,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
26b07b38-9bfd-4d22-b3cf-a8f6e30e6eda,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
282c1d88-af1a-43e3-8f15-0dee93a282ea,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
28ccda59-9e13-4656-8fcf-b15acf394220,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
371494e8-d43e-4cb2-9215-1dedd94146fe,DUPLICATE_UUID_DROPPED,uuid,7 rows,1 row,NA,UUID deleted when all values identical,NA
3cff27c9-5171-4e41-bee0-4d838bf30397,DUPLICATE_UUID_DROPPED,uuid,7 rows,1 row,NA,UUID deleted when all values identical,NA
494f7e82-fa88-4a07-b7b2-3564a1b1fffe,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
4ab113b8-f585-4f3b-bf46-82391fd02ce0,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
4b7ddda0-281e-4d06-86d4-e8b55d20ef5b,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
4f96d3ec-d09c-4dc1-9c92-f517f599a5e0,DUPLICATE_UUID_DROPPED,uuid,3 rows,1 row,NA,UUID deleted when all values identical,NA
548ae59e-6f91-4610-acfa-33e42e5021a2,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
55a5ce05-5eb6-4624-bcb2-5f311360f372,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
5687f917-92b5-4f57-b9e4-4958c84ca5d1,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
5ba0f93d-f731-4a2c-b90a-a0d4d68989f9,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
5fed0fb5-3b96-4c38-8e52-41065dbb3b5a,DUPLICATE_UUID_DROPPED,uuid,7 rows,1 row,NA,UUID deleted when all values identical,NA
604ac5ab-7b91-4f9e-b8cd-2129be5de5da,DUPLICATE_UUID_DROPPED,uuid,7 rows,1 row,NA,UUID deleted when all values identical,NA
6291af1c-c9e2-4441-b4c0-966fda7a19b5,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
64bb5908-bb64-4b8d-8ef4-9ed66cd787f9,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
6b6f417d-a2fa-47e2-a821-9ce7b9b410e0,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
6d7e71f5-b3de-46ad-ac5a-c71eb537ebdd,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
6f1426f1-a2ad-4366-956d-417187c3999d,DUPLICATE_UUID_DROPPED,uuid,7 rows,1 row,NA,UUID deleted when all values identical,NA
70d4e844-5aac-4cce-8ce3-41d6bda58f17,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
749de6e8-1632-4615-87f7-375bdceee381,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
7e09a225-a0d5-4978-8ff1-c36df47cb31a,DUPLICATE_UUID_DROPPED,uuid,7 rows,1 row,NA,UUID deleted when all values identical,NA
838a1182-52ea-478b-b055-3248c377acdd,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
89b00afa-9c72-43ad-b3f4-bef9f7850f9e,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
8d9f669c-02e1-493b-b7bd-6b0d3749b8b5,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
92c3823d-62c8-4105-b486-21a28e1dc02f,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
93bc3bc8-f4e2-43f7-8e8e-9add65e42913,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
9b3ee775-859b-4bc2-aeb9-e9a20fbe3ba1,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
a96c33f0-9e56-45db-a868-fbb53b93d443,DUPLICATE_UUID_DROPPED,uuid,3 rows,1 row,NA,UUID deleted when all values identical,NA
ad6d2d08-aa04-48dd-8142-927a4ec16db8,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
b0cbb780-db95-4ef1-a880-78179355ad8d,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
b2c78615-54b5-4e58-bf55-2bd3a5d180ea,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
b2e78ad6-b721-4a81-a9cd-027b720c8479,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
c01f104a-ba89-42da-b0c7-85bc76e8879f,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
c0dd4b85-f5fe-48af-8349-fa0227f14120,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
c1819294-88eb-499b-86ff-136aea93a045,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
c3253f2e-16b0-4861-a270-27858d8c29dc,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
c7dfaebb-1437-4ed6-acc7-52e4d5f32d74,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
c8776d05-94f2-44a6-82f2-ccd7902fd3af,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
d3cad7f0-51bc-451c-bf73-6adbc129a99f,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
d569e3fd-6857-4cb2-9307-8c310fc2460b,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
d70a868d-bb53-4144-b681-c62ef0849ae2,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
e0d1b3bf-9105-4b45-8225-e5e48093eb24,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
e5b6d44c-8bc3-4e02-8c60-6b809ab7f77b,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
e67c5101-8b15-4d84-aae1-ba889faf85bc,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
ebe6c9fc-ab2e-4baa-b927-efbef29529b7,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
f055015c-7443-4e9a-abb8-0627b4845794,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
f13a52f4-f56b-448e-9d16-919952672986,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
f1476ae8-4beb-4848-a841-ccff9ead76f9,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
fc64871f-dbbb-4c84-80b8-74b0873b39e6,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
fd36a1a4-b7eb-4e02-a249-5dd732aa73b9,DUPLICATE_UUID_DROPPED,uuid,2 rows,1 row,NA,UUID deleted when all values identical,NA
87721a4b-d610-435f-b2ac-e1df10d1ec33,YEAR_RANGE,planteaar,2027,NA,NA,year outside allowed range,NA
43373361-4b74-46ec-a0cb-df509618025d,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
a812a452-5764-4fb1-b67b-65d2fb0be25f,ILLEGAL_CHAR_LATIN,traeart,Tetradium daniéllii,Tetradium daniellii,NA,remove accents,NA
0b129125-d5a4-4ae0-ad6a-37e6440fa48f,ILLEGAL_CHAR_LATIN,traeart,Prúnus sérrula,Prunus serrula,NA,remove accents,NA
e11cbee3-d24c-49db-9c24-d565effab7da,ILLEGAL_CHAR_LATIN,traeart,Fágus sylvática 'Atropunicea',Fagus sylvatica 'Atropunicea',NA,remove accents,NA
2e130a9d-7540-4002-910f-61d06f8f4e3e,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
a56c85b2-612a-4170-b212-c5a20414d8e1,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
6231f875-3a42-466d-947f-f7ccde9f7076,ILLEGAL_CHAR_LATIN,traeart,Bétula papyrífera,Betula papyrifera,NA,remove accents,NA
a1a068f9-856e-4b8d-b5db-0e2db953a9d0,ILLEGAL_CHAR_LATIN,traeart,Pterocárya fraxinifólia,Pterocarya fraxinifolia,NA,remove accents,NA
4a614081-f754-4c24-9321-670864d4f473,ILLEGAL_CHAR_LATIN,traeart,Liquidámbar styracíflua,Liquidambar styraciflua,NA,remove accents,NA
504c424c-a9dd-4506-9d6c-2f80afc263d8,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
e5903494-d482-4fd9-96d8-ba57d7d8508b,ILLEGAL_CHAR_LATIN,traeart,Amelánchier laevis,Amelanchier laevis,NA,remove accents,NA
db76a552-8be0-4c01-9408-47370054348c,ILLEGAL_CHAR_LATIN,traeart,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',NA,remove accents,NA
71d5c421-7fdb-49e2-88c1-c04f21d49f35,ILLEGAL_CHAR_LATIN,traeart,Méspilus germánica,Mespilus germanica,NA,remove accents,NA
c0bd14fe-4f79-41d3-ada7-b9974bfda79b,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
a751a06c-e7ef-470f-9e06-88189c22fb71,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
b7b039ec-3bf3-4716-80f7-a014c8818189,ILLEGAL_CHAR_LATIN,traeart,Nothofágus antárctica,Nothofagus antarctica,NA,remove accents,NA
6e85e10e-f539-40e3-9be9-5c48194e1b12,ILLEGAL_CHAR_LATIN,traeart,Davídia involuncráta,Davidia involuncrata,NA,remove accents,NA
3e1d9b18-b71a-4f16-929f-98ce5520bcaa,ILLEGAL_CHAR_LATIN,traeart,Davídia involuncráta,Davidia involuncrata,NA,remove accents,NA
afcb6621-7203-434e-8211-a787eb99a940,ILLEGAL_CHAR_LATIN,traeart,Paulównia tomentósa,Paulownia tomentosa,NA,remove accents,NA
46a6fb97-363d-48a0-bb4e-6cf745883097,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
32bbb98e-568c-4b02-9636-4b22685cfc2f,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
3ac78042-1983-4f9c-929a-79530d02d279,ILLEGAL_CHAR_LATIN,traeart,Liriodéndron tulipífera,Liriodendron tulipifera,NA,remove accents,NA
03c43738-e7e9-467f-8553-eec9703a6b1c,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
8baf207e-16b9-4430-b56f-2294d38f7b7c,ILLEGAL_CHAR_LATIN,traeart,Sórbus commíxta,Sorbus commixta,NA,remove accents,NA
7eb1826a-63af-40cb-a09a-ce86e62d6e39,ILLEGAL_CHAR_LATIN,traeart,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',NA,remove accents,NA
