raw_dansk_navn,common_name,n
Park-Lind,Parklind,2226
Hestekastanie,Hestekastanje,1178
Stilk-eg,Stilkeg,1148
Rød-ask,Rødask,674
Bøg,Almindelig bøg,539
Tretorn,Almindelig tretorn,385
Paradisæble,Paradisæble 'Evereste',333
Vortebrik,Vortebirk,274
Elm 'New Horizon',Hybridelm 'New Horizon',266
Pyramide avnbøg,Pyramideavnbøg,263
rød-el,Rødel,233
Søjleformet almindelig eg,Søjleformet stilkeg,230
Frynse-eg,Frynseeg,203
"Almindelig hæg, enstammet",Almindelig hæg,198
"Birk, pollenfri",Fligbladet birk (pollenfri),179
"Prunus umineko, ikke navngivet på dansk",Prydkirsebær,176
Elm 'Rebona',Hybridelm 'Rebona',142
Paradisæble,Paradisæble 'Braendkjaer',118
Rød-el,Rødel,115
Elm 'Columella',Hybridelm 'Columella',96
Ægte kastanie,Ægte kastanje,93
Elm 'Lobel',Hybridelm 'Lobel',90
Dværgcypres,Dværgcypres/Ædelcypres,87
Paradisæble,Paradisæble 'Butterball',80
Skyrækker (hun),Skyrækker,77
Grå el,Gråel,76
Ambertræ,Virginsk ambratræ,66
Skyrækker (han),Skyrækker,65
Kirsebærblomme/Mirabel,Blodblomme,57
"Pyrus caucasica, ikke navngivet på dansk",Prydpære,57
Paradisæble,Paradisæble 'Gorgeous',57
Ungarsk lind,Sølvlind,52
Malus sieboldii,Japansk prydæble,46
Manna ask,Manna-ask,38
Amerikansk ask 'Skyline',Amerikansk ask,36
Hvidtjørn,Engriflet hvidtjørn,35
Almindelig Sumpcypres,Almindelig sumpcypres,33
Poppel,Landevejspoppel,33
Rød hestekastanie,Rød hestekastanje,33
Smallbladet sølvblad,Smalbladet sølvblad,31
Almindelig pære,Almindelig pære 'Beech Hill',30
Paradisæble,Paradisæble 'Red Sentinel',28
Paradisæble,Paradisæble 'John Downie',28
Almindelig æble,Almindelig æble 'Ingrid Marie',28
Pyramide sølvløn,Pyramidesølvløn,27
Hybrid-Lærk,Hybrid-lærk,25
Almindelig æble,Almindelig æble 'Filippa',25
Skørpil 'Bullata',Skørpil,24
Kristtorn 'Blå',Blågrøn kristtorn,23
Elm 'Fiorente',Hybridelm 'Fiorente',23
ildløn,Ildløn,22
Sølvgran Nobilis,Sølvgran (Nobilis),22
Japansk magnolia,Japansk magnolie,21
Europæisk Humlebøg,Europæisk humlebøg,21
Fyldtblomstret hestekastanie,Fyldtblomstret hestekastanje,21
Æble 'Elstar',Paradisæble 'Elstar',20
Almindelig magnolia,Almindelig magnolie,19
Balsampoppel,Vestamerikansk balsampoppel,19
Almindelig æble,Almindelig æble 'Rød Gråsten',19
Ahorn,Freeman-løn,18
Yoshino-Kirsebær,Yoshino-kirsebær,18
Magnolia,Magnolie,17
Paradisæble,Paradisæble 'Dir. Moerland',17
Paradisæble,Paradisæble 'Rudolf',17
Ribs 'Rondom',Ribs,16
Hybrid-Guldregn,Hybrid-guldregn,16
Sakhalin-kirsebær,Sakhalinkirsebær,16
Lind,Parklind,15
Æble 'Hyslop',Paradisæble 'Hyslop',15
Douglasgran var. caesia,Grå douglasgran,14
Rød ananas æble,Almindelig æble 'Rød ananas',14
Æble,Sargents æble,14
Almindelig æble,Almindelig æble 'Aroma',13
Sødkirsebær 'Sunburst',Sødkirsebær,13
Lærk,Hybrid-lærk,13
Bærmispel 'Ballerina',Allegheny-bærmispel,13
Paradisæble,Paradisæble 'Professor Sprenger',13
Kugle-robinie,Kuglerobinie,12
Almindelig æble,Almindelig æble 'Guldborg',11
Sødkirsebær 'Merton Glory',Sødkirsebær,10
Kirsebær 'Sam',Sødkirsebær,10
Prydkirsebær ' Spire',Prydkirsebær,10
Selje Pil,Seljepil,10
Skærm elm,Skærmelm,10
Amerikansk ask 'Autumn purple',Amerikansk ask,10
'Cleveland' spidsløn,Spidsløn,10
Almindelig Benved,Almindelig benved,10
Pære 'Doyenne de Comice',Almindelig pære 'Doyenne de Comice',9
Turner eg,Turner-eg,8
Paradisæble,Paradisæble 'Red Splendor',8
Magnolia hybr. loebneri 'Merrill',Magnolie hybr. loebneri,8
Purpur pil,Purpurpil,8
Stilk-eg 'Pectinata',Stilkeg,8
Ellebladet røn,Almindelig røn,8
Æble 'Holsteiner Cox',Almindelig æble 'Holsteiner Cox',7
Kolorado-gran,Koloradogran,7
Skovfyr fra Norge,Norsk skovfyr,7
Ribs 'Jonkheer Van Tets',Ribs,7
Ahorn 'Spaethii',Ahorn,7
Solbær 'Ben Alder',Solbær,7
Japansk paradisæble,Fujiyama-æble,7
