code,value_from,value_to,message,n
DUPLICATE_UUID_DROPPED,2 rows,1 row,UUID deleted when all values identical,1
YEAR_RANGE,2027,NA,year outside allowed range,11
YEAR_RANGE,2026,NA,year outside allowed range,1
ILLEGAL_CHAR_LATIN,Liquidámbar styracíflua,Liquidambar styraciflua,remove accents,43
ILLEGAL_CHAR_LATIN,Cedrús atlántica,Cedrus atlantica,remove accents,6
ILLEGAL_CHAR_LATIN,Ácer gríseum,Acer griseum,remove accents,20
ILLEGAL_CHAR_LATIN,Prúnus sérrula,Prunus serrula,remove accents,14
ILLEGAL_CHAR_LATIN,Táxus baccáta,Taxus baccata,remove accents,82
ILLEGAL_CHAR_LATIN,Fráxinus pennsylvánica,Fraxinus pennsylvanica,remove accents,35
ILLEGAL_CHAR_LATIN,Sórbus commíxta,Sorbus commixta,remove accents,27
ILLEGAL_CHAR_LATIN,Ácer tatáricum,Acer tataricum,remove accents,8
ILLEGAL_CHAR_LATIN,Nothofágus antárctica,Nothofagus antarctica,remove accents,30
ILLEGAL_CHAR_LATIN,Fágus sylvática 'Atropunicea',Fagus sylvatica 'Atropunicea',remove accents,14
ILLEGAL_CHAR_LATIN,Pterocárya fraxinifólia,Pterocarya fraxinifolia,remove accents,39
ILLEGAL_CHAR_LATIN,Sórbus commixta 'Dodong',Sorbus commixta 'Dodong',remove accents,45
ILLEGAL_CHAR_LATIN,Davídia involuncráta,Davidia involuncrata,remove accents,17
ILLEGAL_CHAR_LATIN,Liriodéndron tulipífera,Liriodendron tulipifera,remove accents,108
ILLEGAL_CHAR_LATIN,Magnólia sp.,Magnolia sp.,remove accents,17
ILLEGAL_CHAR_LATIN,Paulównia tomentósa,Paulownia tomentosa,remove accents,39
ILLEGAL_CHAR_LATIN,Cercidiphýllum japónicum,Cercidiphyllum japonicum,remove accents,41
ILLEGAL_CHAR_LATIN,Prunus subhirtélla 'Accolade',Prunus subhirtella 'Accolade',remove accents,74
ILLEGAL_CHAR_LATIN,Mórus álba,Morus alba,remove accents,5
ILLEGAL_CHAR_LATIN,Amelánchier laevis,Amelanchier laevis,remove accents,64
ILLEGAL_CHAR_LATIN,Pínus tabulifórmis,Pinus tabuliformis,remove accents,3
ILLEGAL_CHAR_LATIN,Bétula maximowicziána,Betula maximowicziana,remove accents,4
ILLEGAL_CHAR_LATIN,Catálpa bignonioídes,Catalpa bignonioides,remove accents,14
ILLEGAL_CHAR_LATIN,Cedrús líbani,Cedrus libani,remove accents,17
ILLEGAL_CHAR_LATIN,Ácer rúbrum,Acer rubrum,remove accents,17
ILLEGAL_CHAR_LATIN,Cydónia oblónga,Cydonia oblonga,remove accents,17
ILLEGAL_CHAR_LATIN,Mórus nígra,Morus nigra,remove accents,20
ILLEGAL_CHAR_LATIN,Fágus orientális,Fagus orientalis,remove accents,10
ILLEGAL_CHAR_LATIN,Quércus x túrneri,Quercus x turneri,remove accents,8
ILLEGAL_CHAR_LATIN,Bétula papyrífera,Betula papyrifera,remove accents,14
ILLEGAL_CHAR_LATIN,Ácer argutum,Acer argutum,remove accents,5
ILLEGAL_CHAR_LATIN,Zelkóva serráta,Zelkova serrata,remove accents,11
ILLEGAL_CHAR_LATIN,Sórbus doméstica,Sorbus domestica,remove accents,3
ILLEGAL_CHAR_LATIN,Júglans nígra,Juglans nigra,remove accents,11
ILLEGAL_CHAR_LATIN,Fágus sylvática 'Asplenifolia',Fagus sylvatica 'Asplenifolia',remove accents,4
ILLEGAL_CHAR_LATIN,Sequoiadéndron gigantéum,Sequoiadendron giganteum,remove accents,6
ILLEGAL_CHAR_LATIN,Rhus potanínii,Rhus potaninii,remove accents,5
ILLEGAL_CHAR_LATIN,Méspilus germánica,Mespilus germanica,remove accents,12
ILLEGAL_CHAR_LATIN,Tetradium daniéllii,Tetradium daniellii,remove accents,3
ILLEGAL_CHAR_LATIN,Ácer carpinifólium,Acer carpinifolium,remove accents,1
ILLEGAL_CHAR_LATIN,Pterocárya sp.,Pterocarya sp.,remove accents,1
ILLEGAL_CHAR_LATIN,Álnus inokumea,Alnus inokumea,remove accents,6
ILLEGAL_CHAR_LATIN,Cydónia sp.,Cydonia sp.,remove accents,5
ILLEGAL_CHAR_LATIN,Pterocárya rhederiana,Pterocarya rhederiana,remove accents,1
ILLEGAL_CHAR_LATIN,Méspilus sp.,Mespilus sp.,remove accents,2
ILLEGAL_CHAR_LATIN,Robínia luxúrians,Robinia luxurians,remove accents,1
WRONG_CASE_DANISH,Park-Lind,Park-lind,to sentence case,2238
WRONG_CASE_DANISH,rød-el,Rød-el,to sentence case,222
WRONG_CASE_DANISH,Kirsebær/Blomme,Kirsebær/blomme,to sentence case,501
WRONG_CASE_DANISH,Blå Douglasgran,Blå douglasgran,to sentence case,4
WRONG_CASE_DANISH,Hybrid-Lærk,Hybrid-lærk,to sentence case,26
WRONG_CASE_DANISH,ildløn,Ildløn,to sentence case,22
WRONG_CASE_DANISH,Selje Pil,Selje pil,to sentence case,10
WRONG_CASE_DANISH,Europæisk Humlebøg,Europæisk humlebøg,to sentence case,16
WRONG_CASE_DANISH,Kirsebærblomme/Mirabel,Kirsebærblomme/mirabel,to sentence case,55
WRONG_CASE_DANISH,Yoshino-Kirsebær,Yoshino-kirsebær,to sentence case,13
WRONG_CASE_DANISH,Hybrid-Guldregn,Hybrid-guldregn,to sentence case,16
WRONG_CASE_DANISH,Almindelig Sumpcypres,Almindelig sumpcypres,to sentence case,34
WRONG_CASE_DANISH,Almindelig Benved,Almindelig benved,to sentence case,10
WRONG_CASE_DANISH,Hybrid-Troldnød,Hybrid-troldnød,to sentence case,3
WRONG_CASE_DANISH,Clara Frijs-pære,Clara frijs-pære,to sentence case,6
WRONG_CASE_DANISH,Bjerg-Hemlock,Bjerg-hemlock,to sentence case,3
WRONG_CASE_DANISH,Californisk Nøddetaks,Californisk nøddetaks,to sentence case,2
WRONG_CASE_DANISH,Sten-Eg,Sten-eg,to sentence case,2
WRONG_CASE_DANISH,Indiansk banan (Pawpaw),Indiansk banan (pawpaw),to sentence case,3
WRONG_CASE_DANISH,Skovfyr fra Norge,Skovfyr fra norge,to sentence case,7
WRONG_CASE_DANISH,Sølvgran Nobilis,Sølvgran nobilis,to sentence case,22
WRONG_CASE_DANISH,Gul Hestekastanje,Gul hestekastanje,to sentence case,1
WRONG_CASE_DANISH,Glat Hestekastanje,Glat hestekastanje,to sentence case,3
WRONG_CASE_DANISH,Adams Guldregn,Adams guldregn,to sentence case,1
WRONG_CASE_DANISH,Kaukasisk Blærenød,Kaukasisk blærenød,to sentence case,1
WRONG_CASE_DANISH,Japansk Løn,Japansk løn,to sentence case,5
WRONG_CASE_DANISH,Japansk Hemlock,Japansk hemlock,to sentence case,1
WRONG_CASE_DANISH,Rhusbladet Vingevalnød,Rhusbladet vingevalnød,to sentence case,2
WRONG_CASE_DANISH,Askebladet Løn,Askebladet løn,to sentence case,1
WRONG_CASE_DANISH,Spansk Ædelgran,Spansk ædelgran,to sentence case,1
WRONG_CASE_DANISH,Tyrkisk Løn,Tyrkisk løn,to sentence case,1
WRONG_CASE_DANISH,Tjørnebladet Løn,Tjørnebladet løn,to sentence case,1
WRONG_CASE_DANISH,Europæisk Judastræ,Europæisk judastræ,to sentence case,1
WRONG_CASE_DANISH,Fuldmåne Løn,Fuldmåne løn,to sentence case,1
WRONG_CASE_DANISH,Skarlagens Eg,Skarlagens eg,to sentence case,2
WRONG_CASE_DANISH,Armensk Eg,Armensk eg,to sentence case,1
WRONG_CASE_DANISH,Sakhalin Kirsebær,Sakhalin kirsebær,to sentence case,1
WRONG_CASE_DANISH,Rødbladet Stilkeg,Rødbladet stilkeg,to sentence case,1
WRONG_CASE_DANISH,Ellebladet Røn,Ellebladet røn,to sentence case,1
WRONG_CASE_DANISH,Grøn Douglasgran,Grøn douglasgran,to sentence case,1
APPLIED_REGEX_RULE,Prunus x hilleri 'Spire',Prunus hybr. hilleri 'Spire',normalize hybrid marker,10
APPLIED_REGEX_RULE,Tilia x 'Zwarte Linde',Tilia hybr. 'Zwarte Linde',normalize hybrid marker,9
APPLIED_REGEX_RULE,Hamamelis X intermedia,Hamamelis hybr. intermedia,normalize hybrid marker,3
APPLIED_REGEX_RULE,Prunus x 'Stevnsbær',Prunus hybr. 'Stevnsbær',normalize hybrid marker,15
