order,family,genus,art,art_id,color
Aquifoliales,Aquifoliaceae,Ilex,Ilex aquifolium,1,#C9E120
Aquifoliales,Aquifoliaceae,Ilex,Ilex meserveae,2,#C8E020
Aquifoliales,Aquifoliaceae,Ilex,Ilex sp.,3,#C7E020
Araucariales,Araucariaceae,Araucaria,Araucaria araucana,4,#C6E021
Arecales,Arecaceae,Trachycarpus,Trachycarpus fortunei,5,#C4E021
Buxales,Buxaceae,Buxus,Buxus sp.,6,#C3DF22
Celastrales,Celastraceae,Euonymus,Euonymus alata,7,#C2DF23
Celastrales,Celastraceae,Euonymus,Euonymus europaeus,8,#C1DF24
Celastrales,Celastraceae,Euonymus,Euonymus latifolius,9,#C0DF25
Celastrales,Celastraceae,Euonymus,Euonymus sachaliensis,10,#BFDF25
Celastrales,Celastraceae,Euonymus,Euonymus sp.,11,#BDDF26
Cornales,Cornaceae,Cornus,Cornus contreversa,12,#BCDF26
Cornales,Cornaceae,Cornus,Cornus kousa,13,#BBDE27
Cornales,Cornaceae,Cornus,Cornus mas,14,#BADE28
Cornales,Cornaceae,Cornus,Cornus sanguinea,15,#B9DE29
Cornales,Cornaceae,Cornus,Cornus sp.,16,#B8DE29
Cornales,Hydrangeaceae,Hydrangea,Hydrangea arboreum,17,#B7DE2A
Cornales,Nyssaceae,Davidia,Davidia involucrata,18,#B5DE2B
Cornales,Nyssaceae,Nyssa,Nyssa sylvatica,19,#B4DE2C
Crossosomatales,Staphyleaceae,Staphylea,Staphylea colchica,20,#B2DD2D
Cupressales,Cupressaceae,Calocedrus,Calocedrus decurrens,21,#B1DD2E
Cupressales,Cupressaceae,Chamaecyparis,Chamaecyparis lawsoniana,22,#B1DD2E
Cupressales,Cupressaceae,Chamaecyparis,Chamaecyparis obtusa,23,#B0DD2F
Cupressales,Cupressaceae,Chamaecyparis,Chamaecyparis sp.,24,#AEDC30
Cupressales,Cupressaceae,Cryptomeria,Cryptomeria japonica,25,#ADDC30
Cupressales,Cupressaceae,Cunninghamia,Cunninghamia lanceolata,26,#ABDC31
Cupressales,Cupressaceae,Juniperus,Juniperus communis,27,#AADC32
Cupressales,Cupressaceae,Juniperus,Juniperus sp.,28,#A9DC33
Cupressales,Cupressaceae,Juniperus,Juniperus virginiana,29,#A8DB34
Cupressales,Cupressaceae,Metasequoia,Metasequoia glyptostroboides,30,#A7DB35
Cupressales,Cupressaceae,Sequoia,Sequoia sempervirens,31,#A6DB35
Cupressales,Cupressaceae,Sequoiadendron,Sequoiadendron giganteum,32,#A4DB36
Cupressales,Cupressaceae,Taxodium,Taxodium distichum,33,#A3DA37
Cupressales,Cupressaceae,Thuja,Thuja occidentalis,34,#A2DA37
Cupressales,Cupressaceae,Thuja,Thuja sp.,35,#A1DA38
Cupressales,Cupressaceae,Thujopsis,Thujopsis dolabrata,36,#A0DA39
Cupressales,Taxaceae,Cephalotaxus,Cephalotaxus harringtonia,37,#9FDA3A
Cupressales,Taxaceae,Taxus,Taxus baccata,38,#9DD93B
Cupressales,Taxaceae,Taxus,Taxus sp.,39,#9CD93B
Cupressales,Taxaceae,Torreya,Torreya californica,40,#9CD93C
Cupressales,Taxaceae,Torreya,Torreya nucifera,41,#9BD93C
Dipsacales,Adoxaceae,Sambucus,Sambucus nigra,42,#99D83D
