if_column;pattern;then_column;replacement;note;priority
genus;Abies;slaegtsnavn;Ædelgran;fix danish genus based on binomial;NA
genus;Acer;slaegtsnavn;Løn;fix danish genus based on binomial;NA
genus;Aesculus;slaegtsnavn;Hestekastanje;fix danish genus based on binomial;NA
genus;Ailanthus;slaegtsnavn;Skyrækker;fix danish genus based on binomial;NA
genus;Albizia;slaegtsnavn;Albizia;fix danish genus based on binomial;NA
genus;Alnus;slaegtsnavn;El;fix danish genus based on binomial;NA
genus;Amelanchier;slaegtsnavn;Bærmispel;fix danish genus based on binomial;NA
genus;Aralia;slaegtsnavn;Aralie;fix danish genus based on binomial;NA
genus;Araucaria;slaegtsnavn;Abeskræk;fix danish genus based on binomial;NA
genus;Aronia;slaegtsnavn;Surbær;fix danish genus based on binomial;NA
genus;Betula;slaegtsnavn;Birk;fix danish genus based on binomial;NA
genus;Buddleja;slaegtsnavn;Buddleja;fix danish genus based on binomial;NA
genus;Buxus;slaegtsnavn;Buksbom;fix danish genus based on binomial;NA
genus;Calocedrus;slaegtsnavn;Flodceder;fix danish genus based on binomial;NA
genus;Calycanthus;slaegtsnavn;Kanelbusk;fix danish genus based on binomial;NA
genus;Carpinus;slaegtsnavn;Avnbøg;fix danish genus based on binomial;NA
genus;Castanea;slaegtsnavn;Kastanje;fix danish genus based on binomial;NA
genus;Catalpa;slaegtsnavn;Trompetkrone;fix danish genus based on binomial;NA
genus;Cedrus;slaegtsnavn;Ceder;fix danish genus based on binomial;NA
genus;Celtis;slaegtsnavn;Nældetræ;fix danish genus based on binomial;NA
genus;Cephalotaxus;slaegtsnavn;Blommetaks;fix danish genus based on binomial;NA
genus;Cercidiphyllum;slaegtsnavn;Hjertetræ;fix danish genus based on binomial;NA
genus;Cercis;slaegtsnavn;Judastræ;fix danish genus based on binomial;NA
genus;Chamaecyparis;slaegtsnavn;Dværgcypres/Ædelcypres;fix danish genus based on binomial;NA
genus;Cladrastis;slaegtsnavn;Cladrastis;fix danish genus based on binomial;NA
genus;Colutea;slaegtsnavn;Blærebælg;fix danish genus based on binomial;NA
genus;Cornus;slaegtsnavn;Kornel;fix danish genus based on binomial;NA
genus;Corylus;slaegtsnavn;Hassel;fix danish genus based on binomial;NA
genus;Cotinus;slaegtsnavn;Parykbusk;fix danish genus based on binomial;NA
genus;Cotoneaster;slaegtsnavn;Dværgmispel;fix danish genus based on binomial;NA
genus;Crataegus;slaegtsnavn;Tjørn;fix danish genus based on binomial;NA
genus;Cryptomeria;slaegtsnavn;Kryptomeria;fix danish genus based on binomial;NA
genus;Cunninghamia;slaegtsnavn;Cunninghamia;fix danish genus based on binomial;NA
genus;Cydonia;slaegtsnavn;Kvæde;fix danish genus based on binomial;NA
genus;Davidia;slaegtsnavn;Duetræ;fix danish genus based on binomial;NA
genus;Elaeagnus;slaegtsnavn;Sølvblad;fix danish genus based on binomial;NA
genus;Eucommia;slaegtsnavn;Eucommia;fix danish genus based on binomial;NA
genus;Euodia;slaegtsnavn;Tetradium/Euodia;fix danish genus based on binomial;NA
genus;Euonymus;slaegtsnavn;Benved;fix danish genus based on binomial;NA
genus;Fagus;slaegtsnavn;Bøg;fix danish genus based on binomial;NA
genus;Fothergilla;slaegtsnavn;Troldel;fix danish genus based on binomial;NA
genus;Fraxinus;slaegtsnavn;Ask;fix danish genus based on binomial;NA
genus;Ginkgo;slaegtsnavn;Tempeltræ;fix danish genus based on binomial;NA
genus;Gleditsia;slaegtsnavn;Tretorn;fix danish genus based on binomial;NA
genus;Gymnocladus;slaegtsnavn;Stennød;fix danish genus based on binomial;NA
genus;Hamamelis;slaegtsnavn;Troldnød;fix danish genus based on binomial;NA
genus;Heptacodium;slaegtsnavn;Heptacodium;fix danish genus based on binomial;NA
genus;Hibiscus;slaegtsnavn;Hibiscus;fix danish genus based on binomial;NA
genus;Hippophae;slaegtsnavn;Havtorn;fix danish genus based on binomial;NA
genus;Hydrangea;slaegtsnavn;Hortensia;fix danish genus based on binomial;NA
genus;Ilex;slaegtsnavn;Kristtorn;fix danish genus based on binomial;NA
genus;Juglans;slaegtsnavn;Valnød;fix danish genus based on binomial;NA
genus;Juniperus;slaegtsnavn;Ene;fix danish genus based on binomial;NA
genus;Kerria;slaegtsnavn;Ranunkelbusk;fix danish genus based on binomial;NA
genus;Koelreuteria;slaegtsnavn;Kinesertræ;fix danish genus based on binomial;NA
genus;Kolkwitzia;slaegtsnavn;Dronningebusk;fix danish genus based on binomial;NA
genus;+Laburnocytisus;slaegtsnavn;Adams guldregn;fix danish genus based on binomial;NA
genus;Laburnocytisus;slaegtsnavn;Adams guldregn;fix danish genus based on binomial;NA
genus;Laburnum;slaegtsnavn;Guldregn;fix danish genus based on binomial;NA
genus;Larix;slaegtsnavn;Lærk;fix danish genus based on binomial;NA
genus;Liquidambar;slaegtsnavn;Ambratræ;fix danish genus based on binomial;NA
genus;Liriodendron;slaegtsnavn;Tulipantræ;fix danish genus based on binomial;NA
genus;Maclura;slaegtsnavn;Maclura;fix danish genus based on binomial;NA
genus;Magnolia;slaegtsnavn;Magnolie;fix danish genus based on binomial;NA
genus;Malus;slaegtsnavn;Æble;fix danish genus based on binomial;NA
genus;Mespilus;slaegtsnavn;Mispel;fix danish genus based on binomial;NA
genus;Metasequoia;slaegtsnavn;Vandgran;fix danish genus based on binomial;NA
genus;Morus;slaegtsnavn;Morbær;fix danish genus based on binomial;NA
genus;Nothofagus;slaegtsnavn;Sydbøg;fix danish genus based on binomial;NA
genus;Nyssa;slaegtsnavn;Tupelotræ;fix danish genus based on binomial;NA
genus;Osmanthus;slaegtsnavn;Osmanthus;fix danish genus based on binomial;NA
genus;Ostrya;slaegtsnavn;Humlebøg;fix danish genus based on binomial;NA
genus;Parrotia;slaegtsnavn;Papegøjebusk;fix danish genus based on binomial;NA
genus;Paulownia;slaegtsnavn;Kejsertræ;fix danish genus based on binomial;NA
genus;Phellodendron;slaegtsnavn;Korktræ;fix danish genus based on binomial;NA
genus;Phillyrea;slaegtsnavn;Stenved;fix danish genus based on binomial;NA
genus;Physocarpus;slaegtsnavn;Blærespiræa;fix danish genus based on binomial;NA
genus;Picea;slaegtsnavn;Gran;fix danish genus based on binomial;NA
genus;Pinus;slaegtsnavn;Fyr;fix danish genus based on binomial;NA
genus;Pistacie;slaegtsnavn;Pistacie;fix danish genus based on binomial;NA
genus;Platanus;slaegtsnavn;Platan;fix danish genus based on binomial;NA
genus;Poncirus;slaegtsnavn;Dværgcitron;fix danish genus based on binomial;NA
genus;Populus;slaegtsnavn;Poppel;fix danish genus based on binomial;NA
genus;Prunus;slaegtsnavn;Kirsebær/Blomme;fix danish genus based on binomial;NA
genus;Pseudotsuga;slaegtsnavn;Douglasgran;fix danish genus based on binomial;NA
genus;Pterocarya;slaegtsnavn;Vingevalnød;fix danish genus based on binomial;NA
genus;Pyrus;slaegtsnavn;Pære;fix danish genus based on binomial;NA
genus;Quercus;slaegtsnavn;Eg;fix danish genus based on binomial;NA
genus;Rhamnus;slaegtsnavn;Korsved;fix danish genus based on binomial;NA
genus;Rhododendron;slaegtsnavn;Rhododendron;fix danish genus based on binomial;NA
genus;Rhus;slaegtsnavn;Sumak;fix danish genus based on binomial;NA
genus;Ribes;slaegtsnavn;Ribs;fix danish genus based on binomial;NA
genus;Robinia;slaegtsnavn;Robinie;fix danish genus based on binomial;NA
genus;Rosa;slaegtsnavn;Rose;fix danish genus based on binomial;NA
genus;Salix;slaegtsnavn;Pil;fix danish genus based on binomial;NA
genus;Sambucus;slaegtsnavn;Hyld;fix danish genus based on binomial;NA
genus;Sequoia;slaegtsnavn;Rødtræ;fix danish genus based on binomial;NA
genus;Sequoiadendron;slaegtsnavn;Mammuttræ;fix danish genus based on binomial;NA
genus;Sorbaria;slaegtsnavn;Tusindtop;fix danish genus based on binomial;NA
genus;Sorbus;slaegtsnavn;Røn;fix danish genus based on binomial;NA
genus;Staphylea;slaegtsnavn;Blærenød;fix danish genus based on binomial;NA
genus;Styphnolobium;slaegtsnavn;Pagodetræ;fix danish genus based on binomial;NA
genus;Styrax;slaegtsnavn;Styrax;fix danish genus based on binomial;NA
genus;Symphoricapos;slaegtsnavn;Snebær;fix danish genus based on binomial;NA
genus;Syringa;slaegtsnavn;Syren;fix danish genus based on binomial;NA
genus;Taxodium;slaegtsnavn;Sumpcypres;fix danish genus based on binomial;NA
genus;Taxus;slaegtsnavn;Taks;fix danish genus based on binomial;NA
genus;Tetradium;slaegtsnavn;Tetradium;fix danish genus based on binomial;NA
genus;Thuja;slaegtsnavn;Thuja;fix danish genus based on binomial;NA
genus;Thujopsis;slaegtsnavn;Hønsebenstræ;fix danish genus based on binomial;NA
genus;Tilia;slaegtsnavn;Lind;fix danish genus based on binomial;NA
genus;Torreya;slaegtsnavn;Nøddetaks;fix danish genus based on binomial;NA
genus;Trachycarpus;slaegtsnavn;Hørpalme-slægten;fix danish genus based on binomial;NA
genus;Trochodendron;slaegtsnavn;Hjultræ;fix danish genus based on binomial;NA
