genus_name;genus_common_name
+Laburnocytisus;Adams guldregn
Abies;Ædelgran
Acer;Løn
Aesculus;Hestekastanje
Ailanthus;Skyrækker
Albizia;Albizia
Alnus;El
Amelanchier;Bærmispel
Araucaria;Abeskræk
Aronia;Surbær
Asimina;Pawpaw
Betula;Birk
Broussonetia;Broussonetia
Buddleja;Buddleja
Buxus;Buksbom
Calocedrus;Flodceder
Calycanthus;Kanelbusk
Carpinus;Avnbøg
Castanea;Kastanje
Catalpa;Trompetkrone
Cedrus;Ceder
Celtis;Nældetræ
Cephalotaxus;Blommetaks
Cercidiphyllum;Hjertetræ
Cercis;Judastræ
Chamaecyparis;Dværgcypres/Ædelcypres
Cladrastis;Cladrastis
Colutea;Blærebælg
Cornus;Kornel
Corylus;Hassel
Cotinus;Parykbusk
Cotoneaster;Dværgmispel
Crataegus;Tjørn
Cryptomeria;Kryptomeria
Cunninghamia;Cunninghamia
Cydonia;Kvæde
Davidia;Duetræ
Elaeagnus;Sølvblad
Eucommia;Eucommia
Euonymus;Benved
Fagus;Bøg
Fothergilla;Troldel
Fraxinus;Ask
Ginkgo;Tempeltræ
Gleditsia;Tretorn
Gymnocladus;Stennød
Hamamelis;Troldnød
Heptacodium;Heptacodium
Hibiscus;Hibiscus
Hippophaë;Havtorn
Hydrangea;Hortensia
Ilex;Kristtorn
Juglans;Valnød
Juniperus;Ene
Kerria;Ranunkelbusk
Koelreuteria;Kinesertræ
Kolkwitzia;Dronningebusk
Laburnum;Guldregn
Larix;Lærk
Liquidambar;Ambratræ
Liriodendron;Tulipantræ
Maclura;Maclura
Magnolia;Magnolie
Malus;Æble
Mespilus;Mispel
Metasequoia;Vandgran
Morus;Morbær
Nothofagus;Sydbøg
Nyssa;Tupelotræ
Osmanthus;Osmanthus
Ostrya;Humlebøg
Parrotia;Papegøjebusk
Paulownia;Kejsertræ
Phellodendron;Korktræ
Phillyrea;Stenved
Physocarpus;Blærespiræa
Picea;Gran
Pinus;Fyr
Pistacie;Pistacie
Platanus;Platan
Poncirus;Dværgcitron
Populus;Poppel
Prunus;Kirsebær/Blomme
Pseudotsuga;Douglasgran
Pterocarya;Vingevalnød
Pyrus;Pære
Quercus;Eg
Rhamnus;Korsved
Rhododendron;Rhododendron
Rhus;Sumak
Ribes;Ribs
Robinia;Robinie
Rosa;Rose
Salix;Pil
Sambucus;Hyld
Sequoia;Rødtræ
Sequoiadendron;Mammuttræ
Sorbaria;Tusindtop
Sorbus;Røn
Staphylea;Blærenød
Styphnolobium;Pagodetræ
Styrax;Styrax
Symphoricapos;Snebær
Syringa;Syren
Taxodium;Sumpcypres
Taxus;Taks
Tetradium;Tetradium
Thuja;Thuja
Thujopsis;Hønsebenstræ
Tilia;Lind
Torreya;Nøddetaks
Trachycarpus;Hørpalme-slægten
Trochodendron;Hjultræ
Tsuga;Hemlock
Ulmus;Elm
Viburnum;Kvalkved
Zanthoxylum;Tandved
Zelkova;Zelkova
