species;variety;cultivar;infraspecies_common_name
Acer palmatum;NA;Atropurpureum;Rødbladet japansk løn
Acer palmatum;NA;Variegata;Brogetbladet japansk løn
Acer platanoides;NA;Crimson King;Rødbladet spidsløn
Acer platanoides;NA;Faassen's Black;Rødbladet spidsløn
Acer pseudoplatanus;NA;Atropurpureum;Rød ahorn
Acer saccharinum;NA;Pyramidialis;Pyramidesølvløn
Aesculus flava;f. virginica;NA;Virginsk hestekastanje
Aesculus hippocastanum;NA;Baumannii;Fyldtblomstret hestekastanje
Betula pendula;NA;Dalecarlica;Fligbladet birk (pollenfri)
Carpinus betulus;NA;Fastigiata;Pyramideavnbøg
Carpinus betulus;NA;Frans Fontaine;Søjleavnbøg
Corylus avellana;NA;Contorta;Troldhassel
Crataegus prunifolia;NA;Splendens;Glansbladet tjørn
Fagus sylvatica;NA;Asplenifolia;Bregnebøg
Fagus sylvatica;NA;Atropunicea;Blodbøg
Fagus sylvatica;NA;Dawyck;Søjlebøg
Fraxinus excelsior;NA;Diversifolia;Etbladet ask
Fraxinus excelsior;NA;Pendula;Hængeask
Laburnum hybr. watereri;NA;Vossii;Voss-guldregn
Picea abies;NA;Virgata;Slangegran
Picea glauca;NA;Conica;Sukkertopgran
Pinus mugo;NA;Pumillo;Dværgfyr
Pinus nigra;var. corsicana;NA;Korsikansk fyr
Pinus sylvestris;NA;Fastigiata;Søjle-skovfyr
Pinus sylvestris;NA;Typ Norwegen;Norsk skovfyr
Populus nigra;NA;Italica;Søjleformet sortpoppel
Populus tremula;NA;Erecta;Søjleformet bævreasp
Prunus avium;NA;Dönnissens gule;Sødkirsebær
Prunus avium;NA;Hedelfinger;Sødkirsebær
Prunus avium;NA;Kordia;Sødkirsebær
Prunus avium;NA;Lapins;Sødkirsebær
Prunus avium;NA;Merton Glory;Sødkirsebær
Prunus avium;NA;Plena;Fyldtblomstret fuglekirsebær
Prunus avium;NA;Sam;Sødkirsebær
Prunus avium;NA;Sunburst;Sødkirsebær
Prunus avium;NA;Van;Sødkirsebær
Prunus domestica;ssp. insisitia;NA;Kræge
Prunus hybr.;NA;Stevnsbær;Surkirsebær
Prunus serrulata;NA;Amanogawa;Japansk søjlekirsebær
Prunus serrulata;NA;Shirotae;Japansk prydkirsebær
Prunus subhirtella;NA;Autumnalis;Oktoberkirsebær
Prunus subhirtella;NA;Hally Jolivette;Japansk prydkirsebær
Pseudotsuga menziesii;var. caesia;NA;Grå douglasgran
Pseudotsuga menziesii;var. glauca;NA;Blå douglasgran
Pseudotsuga menziesii;var. menziezii;NA;Grøn douglasgran
Quercus robur;NA;Atropurpurea;Rødbladet stilkeg
Quercus robur;NA;Fastigiata;Søjleformet stilkeg
Robinia pseudoacacia;NA;Tortuosa;Troldrobinie
Robinia pseudoacacia;NA;Umbraculifera;Kuglerobinie
Salix alba;NA;Chermesina;Orangebarket pil
Salix alba;NA;Liempde;Hollandsk pil
Salix alba;NA;Sericea;Sølvpil
Salix alba;NA;Sibirica;Sølvpil
Salix alba;NA;Tristis;Guldhængepil
Sorbus commixta;NA;Dodong;Storblomstret japansk røn
Sorbus intermedia;NA;Annisse Kirke;Landevejsrøn
Taxus baccata;NA;Fastigiata;Søjletaks
Tilia hybr. europaea;NA;Pallida;Kejserlind
Ulmus minor;NA;Suberosa;Korkelm
