art;variant;sort;replacement;note;priority
+Laburnocytisus adami;NA;NA;Adams guldregn;change danish name based on latin name;NA
Abies concolor;NA;NA;Kolorado-gran;change danish name based on latin name;NA
Abies nordmanniana;NA;NA;Nordmannsgran;change danish name based on latin name;NA
Abies pinsabo;NA;NA;Spansk ædelgran;change danish name based on latin name;NA
Abies procera;NA;NA;Sølvgran nobilis;change danish name based on latin name;NA
Abies sp.;NA;NA;Ædelgran;change danish name based on latin name;NA
Acer argutum;NA;NA;Japansk løn;change danish name based on latin name;NA
Acer betulifolia;NA;NA;Birkebladet løn;change danish name based on latin name;NA
Acer buergeranium;NA;NA;Tretandet løn;change danish name based on latin name;NA
Acer campestre;NA;NA;Navr;change danish name based on latin name;NA
Acer campestre;NA;Elsrijk;Navr;change danish name based on latin name;NA
Acer campestre;NA;Queen Elisabeth;Navr;change danish name based on latin name;NA
Acer capillipes;NA;NA;Rødstilket løn;change danish name based on latin name;NA
Acer cappadonicum;NA;NA;Tyrkisk løn;change danish name based on latin name;NA
Acer carpinifolium;NA;NA;Avnbøgbladet løn;change danish name based on latin name;NA
Acer circinatum;NA;NA;Vinløn;change danish name based on latin name;NA
Acer cissifolia;NA;NA;NA;change danish name based on latin name;NA
Acer crataegifolium;NA;NA;Tjørnebladet løn;change danish name based on latin name;NA
Acer davidii;NA;NA;David-løn;change danish name based on latin name;NA
Acer elegantuleum;NA;NA;NA;change danish name based on latin name;NA
Acer ginnala;NA;NA;Ildløn;change danish name based on latin name;NA
Acer globosum;NA;NA;Kugleahorn;change danish name based on latin name;NA
Acer griseum;NA;NA;Papirbarkløn;change danish name based on latin name;NA
Acer hybr. freemanii;NA;Elegant;Ahorn;change danish name based on latin name;NA
Acer hybr. freemanii;NA;NA;NA;change danish name based on latin name;NA
Acer hybr. zoeschense;NA;Annae;Hybrid-løn 'Annae';change danish name based on latin name;NA
Acer hycarnum;NA;NA;Balkanløn;change danish name based on latin name;NA
Acer japonica;NA;NA;Fuldmåne-løn;change danish name based on latin name;NA
Acer micranthum;NA;NA;Have-løn;change danish name based on latin name;NA
Acer monspessulanum;NA;NA;Fransk løn;change danish name based on latin name;NA
Acer negundo;NA;NA;Askebladet løn;change danish name based on latin name;NA
Acer negundo;NA;Variegatum;Askebladet løn;change danish name based on latin name;NA
Acer nikoensis;NA;NA;Nikko-løn;change danish name based on latin name;NA
Acer palmatum;NA;Variegata;Brogetbladet japansk løn;change danish name based on latin name;NA
Acer palmatum;NA;NA;Japansk løn;change danish name based on latin name;NA
Acer palmatum;NA;Ozakazaku;Japansk løn;change danish name based on latin name;NA
Acer palmatum;NA;Bloodgood;Japansk løn;change danish name based on latin name;NA
Acer palmatum;NA;Atropurpureum;Rødbladet japansk løn;change danish name based on latin name;NA
Acer pensylvanicum;NA;NA;Stribet løn;change danish name based on latin name;NA
Acer platanoides;NA;Cleveland;'Cleveland' spidsløn;change danish name based on latin name;NA
Acer platanoides;NA;Olmsted;Olmsted løn;change danish name based on latin name;NA
