art;variant;sort;replacement;note;priority
Malus baccata;NA;Akso;Paradisæble 'Akso';change danish name based on latin name;NA
Malus baccata;NA;Snowdrift;Paradisæble 'Snowdrift';change danish name based on latin name;NA
Malus baccata;NA;Street Parade;Paradisæble 'Street Parade';change danish name based on latin name;NA
Malus domestica;NA;Alice Balsgaard;Almindelig æble 'Alice Balsgaard';change danish name based on latin name;NA
Malus domestica;NA;Angold;Almindelig æble 'Angold';change danish name based on latin name;NA
Malus domestica;NA;Aroma;Almindelig æble 'Aroma';change danish name based on latin name;NA
Malus domestica;NA;Bramley;Almindelig æble 'Bramley';change danish name based on latin name;NA
Malus domestica;NA;Bøghs citronæble;Almindelig æble 'Bøghs citronæble';change danish name based on latin name;NA
Malus domestica;NA;Cox Orange;Almindelig æble 'Cox Orange';change danish name based on latin name;NA
Malus domestica;NA;Cox Queen;Almindelig æble 'Cox Queen';change danish name based on latin name;NA
Malus domestica;NA;Discovery;Almindelig æble 'Discovery';change danish name based on latin name;NA
Malus domestica;NA;Filippa;Almindelig æble 'Filippa';change danish name based on latin name;NA
Malus domestica;NA;Golden Delicious;Almindelig æble 'Golden Delicious';change danish name based on latin name;NA
Malus domestica;NA;Goldparmäne;Almindelig æble 'Goldparmäne';change danish name based on latin name;NA
Malus domestica;NA;Gul Gråsten;Almindelig æble 'Gul Gråsten';change danish name based on latin name;NA
Malus domestica;NA;Guldborg;Almindelig æble 'Guldborg';change danish name based on latin name;NA
Malus domestica;NA;Holsteiner Cox;Almindelig æble 'Holsteiner Cox';change danish name based on latin name;NA
Malus domestica;NA;Ildrød Pigeon;Almindelig æble 'Ildrød Pigeon';change danish name based on latin name;NA
Malus domestica;NA;Ingrid Marie;Almindelig æble 'Ingrid Marie';change danish name based on latin name;NA
Malus domestica;NA;James Grieve;Almindelig æble 'James Grieve';change danish name based on latin name;NA
Malus domestica;NA;Katinka;Almindelig æble 'Katinka';change danish name based on latin name;NA
Malus domestica;NA;Katja;Almindelig æble 'Katja';change danish name based on latin name;NA
Malus domestica;NA;Nanna;Almindelig æble 'Nanna';change danish name based on latin name;NA
Malus domestica;NA;Rubinola;Almindelig æble 'Rubinola';change danish name based on latin name;NA
Malus domestica;NA;Rød Belle De Boskoop;Almindelig æble 'Rød Belle De Boskoop';change danish name based on latin name;NA
Malus domestica;NA;Rød Gråsten;Almindelig æble 'Rød Gråsten';change danish name based on latin name;NA
Malus domestica;NA;Rød ananas;Almindelig æble 'Rød ananas';change danish name based on latin name;NA
Malus domestica;NA;Rød aroma;Almindelig æble 'Rød aroma';change danish name based on latin name;NA
Malus domestica;NA;Signe Tillisch;Almindelig æble 'Signe Tillisch';change danish name based on latin name;NA
Malus domestica;NA;Spartan;Almindelig æble 'Spartan';change danish name based on latin name;NA
Malus domestica;NA;Säftaholm;Almindelig æble 'Säftaholm';change danish name based on latin name;NA
Malus domestica;NA;Topaz;Almindelig æble 'Topaz';change danish name based on latin name;NA
Malus domestica;NA;Åkerø Hassel;Almindelig æble 'Åkerø Hassel';change danish name based on latin name;NA
Malus hybr.;NA;Braendkjaer;Paradisæble 'Braendkjaer';change danish name based on latin name;NA
Malus hybr.;NA;Butterball;Paradisæble 'Butterball';change danish name based on latin name;NA
Malus hybr.;NA;Dir. Moerland;Paradisæble 'Dir. Moerland';change danish name based on latin name;NA
Malus hybr.;NA;Elstar;Paradisæble 'Elstar';change danish name based on latin name;NA
Malus hybr.;NA;Evereste;Paradisæble 'Evereste';change danish name based on latin name;NA
Malus hybr.;NA;Golden Hornet;Paradisæble 'Golden Hornet';change danish name based on latin name;NA
Malus hybr.;NA;Gorgeous;Paradisæble 'Gorgeous';change danish name based on latin name;NA
Malus hybr.;NA;Hyslop;Paradisæble 'Hyslop';change danish name based on latin name;NA
Malus hybr.;NA;John Downie;Paradisæble 'John Downie';change danish name based on latin name;NA
Malus hybr.;NA;Neville Copeman;Paradisæble 'Neville Copeman';change danish name based on latin name;NA
Malus hybr.;NA;Professor Sprenger;Paradisæble 'Professor Sprenger';change danish name based on latin name;NA
Malus hybr.;NA;Red Sentinel;Paradisæble 'Red Sentinel';change danish name based on latin name;NA
Malus hybr.;NA;Red Splendor;Paradisæble 'Red Splendor';change danish name based on latin name;NA
Malus hybr.;NA;Rudolf;Paradisæble 'Rudolf';change danish name based on latin name;NA
Malus hybr.;NA;david;Paradisæble 'david';change danish name based on latin name;NA
Malus hybr. floribunda;NA;NA;Japansk paradisæble;change danish name based on latin name;NA
Malus hybr. robusta;NA;NA;Paradisæble;change danish name based on latin name;NA
Malus ioensis;NA;Plena;NA;change danish name based on latin name;NA
Malus sargentii;NA;NA;Sargents æble;change danish name based on latin name;NA
Malus sieboldii;NA;Brouwers beauty;Japansk prydæble 'Brouwers beauty';change danish name based on latin name;NA
Malus sieboldii;NA;Freja;Japansk prydæble 'Freja';change danish name based on latin name;NA
Malus sieboldii;NA;Hesse;Japansk prydæble 'Hesse';change danish name based on latin name;NA
Malus sieboldii;NA;NA;Japansk prydæble;change danish name based on latin name;NA
Malus sp.;NA;NA;Æble;change danish name based on latin name;NA
Malus sylvestris;NA;Masyl;Skovæble 'Masyl';change danish name based on latin name;NA
Malus sylvestris;NA;NA;Skovæble;change danish name based on latin name;NA
Malus toringo;NA;NA;Japansk prydæble;change danish name based on latin name;NA
Malus trilobata;NA;NA;NA;change danish name based on latin name;NA
Malus tschonoskii;NA;NA;Fujiyama-æble;change danish name based on latin name;NA
