column;pattern;replacement;note;priority
traeart;pensylvanica;pennsylvanica;latin spelling fix;100
traeart;^Prunus\s+ceracifera\b;Prunus cerasifera;latin spelling fix;100
traeart;^Prunus\s+mackii\b;Prunus maackii;latin spelling fix;100
traeart;^Almus\s+inceana\b;Alnus incana;latin spelling fix;100
traeart;^Amelachier\b;Amelanchier;latin spelling fix;100
traeart;^Aronia\s+meloncarpia;Aronia melanocarpa;latin spelling fix;100
traeart;^Tilia\s+plathyphyllos\b;Tilia platyphyllos;latin spelling fix;100
traeart;^Alnus\s+inokumea\b;Alnus inokumae;latin spelling fix;100
traeart;^Forthergilla;Fothergilla;latin spelling fix;100
traeart;^Zanthozylum;Zanthoxylum;latin spelling fix;100
traeart;^Hippophea;Hippophae;latin spelling fix;100
traeart;^Laburnocytisus;+Laburnocytisus;latin normalization;100
traeart;^Physocarbus;Physocarpus;latin spelling fix;100
traeart;^Sambuscus;Sambucus;latin spelling fix;100
traeart;^Macluara;Maclura;latin spelling fix;100
traeart;^Davidia\s+involucrate;Davidia involucrata;latin spelling fix;100
traeart;^Davidia\s+involuncrata;Davidia involucrata;latin spelling fix;100
traeart;^Malus\s+sieboldie;Malus sieboldii;latin spelling fix;100
traeart;^Hamamelis\s+'brevitala';Hamamelis 'Brevipetala';latin spelling fix;100
traeart;^Picea\s+punges;Picea pungens;latin spelling fix;100
traeart;^Pseudotsuga\s+menziezii;Pseudotsuga menziesii;latin spelling fix;100
traeart;^Acer\+cissifolia;Acer cissifolium;latin spelling fix;100
traeart;^Betula\s+albo\s+sinensis;Betula albosinensis;latin compound word;95
traeart;^Larix\s+eurolepis;Larix hybr. eurolepis;add hybrid marker;90
traeart;^Populus\s+canescens;Populus hybr. canescens;add hybrid marker;90
traeart;^Populus\s+canadensis;Populus hybr. canadensis;add hybrid marker;90
traeart;^Populus\s+gileadensis;Populus hybr. gileadensis;add hybrid marker;90
traeart;^Acer\s+freemanii\s*([xX×]|hybr\.)?\b;Acer hybr. freemanii;add hybrid marker;90
traeart;^Tilia\s+europaea;Tilia hybr. europaea;add hybrid marker;90
traeart;^Aesculus\s+hippoc\.\s+;Aesculus hippocastanum ;latin expand abbrev.;90
traeart;^Acer\s+pseudoplatanoides\b;Acer pseudoplatanus;could also be platanoides;90
traeart;^Ulmus\s+Fiorente;Ulmus hybr. 'Fiorente';add hybrid marker;90
traeart;^Ulmus\s+';Ulmus hybr. ';add hybrid marker;90
traeart;^Aesculus\s+carnea;Aesculus hybr. carnea;add hybrid marker;90
traeart;^Ginkgo\s+sp\.$;Ginkgo biloba;monotypic extant;70
traeart;^Metasequoia\s+sp\.$;Metasequoia glyptostroboides;monotypic extant;70
traeart;^Larix\s+leptolepis\b;Larix kaempferi;latin synonym -> accepted;60
traeart;^Crytomeria\s+japonica\b;Cryptomeria japonica;latin spelling fix;60
traeart;^Eleagnus\s+angustifolia\b;Elaeagnus angustifolia;latin spelling fix;60
traeart;^Ulmus\s+pumilla\s+arborea\b;Ulmus pumila var. arborea;latin rank word;60
traeart;^Sophora\s+japonica\s*\(Styphnolobium japonica\)$;Styphnolobium japonica;latin accepted genus;60
traeart;^Magnolia\s*([xX×]|hybr\.)\s*Soulangiana\b;Magnolia hybr. soulangeana;latin case fix;60
traeart;^Prunus\s+'Rivers Early Prolific';Prunus domestica 'Rivers Early Prolific';insert species for cultivars;60
traeart;^Pyrus\s+'Grev Moltke';Pyrus communis 'Grev Moltke';insert species for cultivars;60
traeart;^Ribes\s+'Jonkheer Van Tets';Ribes rubrum 'Jonkheer Van Tets';insert species for cultivars;60
traeart;^Ribes\s+'Rondom';Ribes rubrum 'Rondom';insert species for cultivars;60
traeart;^Amelanchier\s+'Autumn Brilliance';Amelanchier hybr. grandiflora 'Autumn Brilliance';insert species for cultivars;60
traeart;^Ribes\s+'Rondom';Ribes rubrum 'Rondom';insert species for cultivars;60
traeart;^Hamamelis\s'Brevipetala';Hamamelis hybr. intermedia 'Brevipetala';insert species for cultivars;60
traeart;^Prunus\s+domestica\s+'Incititia';Prunus domestica ssp. insisitia;cultivar to subspecies;60
traeart;^Prunus\s+'Italiensk sveske';Prunus domestica 'Italiensk sveske';insert species for cultivars;60
traeart;^Hippophae;Hippophaë;add diacritic back;100
