column;pattern;replacement;note;priority
traeart;Malus floribunda;Malus hybr. floribunda;add hybrid marker;NA
traeart;Malus sieboldii  'Browers beauty';Malus sieboldii 'Brouwers beauty';cultivar spelling fix;NA
traeart;Malus hybr. 'Akso';Malus baccata 'Akso';fix species name;NA
traeart;Malus hybr. 'James Greive';Malus domestica 'James Grieve';fix species name;NA
traeart;Malus hybr. 'Robusta';Malus hybr. robusta;cultivar to species;NA
traeart;Malus hybr. 'Street Parade';Malus baccata 'Street Parade';fix species name;NA
traeart;Malus 'Alice Balsgaard';Malus domestica 'Alice Balsgaard';insert species for cultivars;NA
traeart;Malus 'Angold';Malus domestica 'Angold';insert species for cultivars;NA
traeart;Malus 'Bramley's Seedling';Malus domestica 'Bramley's Seedling';insert species for cultivars;NA
traeart;Malus 'Cox Orange';Malus domestica 'Cox Orange';insert species for cultivars;NA
traeart;Malus 'Cox Queen';Malus domestica 'Cox Queen';insert species for cultivars;NA
traeart;Malus 'Golden Hornet';Malus hybr. 'Golden Hornet';insert species for cultivars;NA
traeart;Malus 'Holsteiner Cox';Malus domestica 'Holsteiner Cox';insert species for cultivars;NA
traeart;Malus 'Neville Copeman';Malus hybr. 'Neville Copeman';insert species for cultivars;NA
traeart;Malus 'Rød ananas';Malus domestica 'Rød ananas';insert species for cultivars;NA
traeart;Malus 'Säftaholm';Malus domestica 'Säftaholm';insert species for cultivars;NA
traeart;Malus 'Topaz';Malus domestica 'Topaz';insert species for cultivars;NA
traeart;Malus 'Åkerø Hassel';Malus domestica 'Åkerø Hassel';insert species for cultivars;NA
traeart;Malus Signe Tillisch;Malus domestica 'Signe Tillisch';insert species for cultivars;NA
traeart;Malus discovery;Malus domestica 'Discovery';insert species for cultivars;NA
traeart;Malus rubinola;Malus domestica 'Rubinola';insert species for cultivars;NA
traeart;Malus hybrid Hyslop;Malus hybr. 'Hyslop';normalize hybrid marker;NA
