species;species_common_name
+Laburnocytisus adami;Adams guldregn
Abies concolor;Koloradogran
Abies nordmanniana;Nordmannsgran
Abies pinsabo;Spansk ædelgran
Abies procera;Sølvgran (Nobilis)
Acer argutum;Japansk løn
Acer betulifolia;Birkebladet løn
Acer buergeranium;Tretandet løn
Acer campestre;Navr
Acer capillipes;Rødstilket løn
Acer cappadonicum;Tyrkisk løn
Acer carpinifolium;Avnbøgbladet løn
Acer circinatum;Vinløn
Acer cissifolia;NA
Acer crataegifolium;Tjørnebladet løn
Acer davidii;David-løn
Acer elegantuleum;NA
Acer ginnala;Ildløn
Acer globosum;Kugleahorn
Acer griseum;Papirbarkløn
Acer hybr. freemanii;Freeman-løn
Acer hybr. zoeschense;Hybrid-løn
Acer hyrcanum;Balkanløn
Acer japonica;Fuldmåne-løn
Acer micranthum;Have-løn
Acer monspessulanum;Fransk løn
Acer negundo;Askebladet løn
Acer nikoensis;Nikko-løn
Acer palmatum;Japansk løn
Acer pensylvanicum;Stribet løn
Acer platanoides;Spidsløn
Acer pseudoplatanus;Ahorn
Acer pseudosieboldianum;NA
Acer rubrum;Rød løn
Acer rufinerve;Rødnervet løn
Acer saccharinum;Sølvløn
Acer saccharum;Sukkerløn
Acer tataricum;Russisk løn
Aesculus flava;Gul hestekastanje
Aesculus glabra;Glat hestekastanje
Aesculus hippocastanum;Hestekastanje
Aesculus hybr. carnea;Rød hestekastanje
Aesculus parviflora;Busk-hestekastanje
Ailanthus altissima;Skyrækker
Albizia julibrissin;Silkerosentræ
Alnus cordata;Hjertebladet el
Alnus glutinosa;Rødel
Alnus incana;Gråel
Alnus inokumae;NA
Alnus spaethii;NA
Amelanchier arborea;Enstammet bærmispel
Amelanchier canadensis;Almindelig bærmispel
Amelanchier hybr. grandiflora;NA
Amelanchier laevis;Allegheny-bærmispel
Amelanchier lamarckii;Almindelig bærmispel
Araucaria araucana;Abetræ
Aronia melanocarpa;Sortfrugtet surbær
Aronia hybr. prunifolia;Surbær
Asimina triloba;Indiansk banan (pawpaw)
Betula albosinensis;Rødbirk
Betula ermanii;Kamchatka-birk
Betula hybr.;NA
Betula maximowicziana;Ellebladet birk
Betula nigra;Sortbirk
Betula papyrifera;Papirbirk
Betula pendula;Vortebirk
Betula pubescens;Dunbirk
Betula utilis;Himalaya-birk
Broussonetia papyrifera;Papirmorbær
Buddleja davidii;Sommerfuglebusk
Calocedrus decurrens;Californisk flodceder
Calycanthus floridus;Kanelbusk
Carpinus betulus;Avnbøg
Castanea sativa;Ægte kastanje
Catalpa bignonioides;Almindelig trompetkrone
Catalpa hybr. erubescens;Hybrid-trompetkrone
Cedrus atlantica;Atlasceder
Cedrus deodara;Himalaya-ceder
Cedrus libani;Libanonceder
Celtis australis;Europæisk nældetræ
Celtis sinensis;Kinesisk nældetræ
Cephalotaxus harringtonia;Japansk blommetaks
Cercidiphyllum japonicum;Hjertetræ
Cercis canadensis;Judastræ
Cercis siliquastrum;Europæisk judastræ
Chamaecyparis lawsoniana;Ædelcypres
Chamaecyparis obtusa;Solcypres
Cladrastis lutea;Almindelig kladrastis
Colutea arborescens;Blærebælg
Cornus contreversa;Etagekornel
Cornus kousa;Koreakornel
Cornus mas;Kirsebærkornel
Cornus sanguinea;Rød kornel
Corylus americana;Amerikansk hassel
Corylus avellana;Almindelig hassel
Corylus colurna;Tyrkisk hassel
Cotinus coggygria;Parykbusk
Crataegus crus-galli;Hanesporetjørn
Crataegus douglasii;Sort tjørn
Crataegus intricata;Skarlagentjørn
Crataegus laevigata;Almindelig hvidtjørn
Crataegus lavallei;Glansbladet tjørn
Crataegus monogyna;Engriflet hvidtjørn
Crataegus prunifolia;Blommebladet tjørn
Crataegus submollis;NA
Cryptomeria japonica;Japansk kryptomeria
Cunninghamia lanceolata;Kinesisk ligkistetræ
Cydonia oblonga;Almindelig kvæde
Davidia involucrata;Duetræ
Elaeagnus angustifolia;Smalbladet sølvblad
Eucommia ulmoides;Eucommia
Euonymus alata;Vinget benved
Euonymus europaeus;Almindelig benved
Euonymus latifolius;Storbladet benved
Euonymus sachaliensis;Japansk benved
Fagus orientalis;Orientalsk bøg
Fagus sylvatica;Almindelig bøg
Fothergilla major;Stor troldel
Fraxinus americana;Amerikansk ask
Fraxinus angustifolia;Smalbladet ask
Fraxinus excelsior;Almindelig ask
Fraxinus ornus;Manna-ask
Fraxinus pennsylvanica;Rødask
Ginkgo biloba;Tempeltræ
Gleditsia triacanthos;Almindelig tretorn
Gymnocladus dioicus;Stennød
Hamamelis hybr.;Hybrid-troldnød
Hamamelis hybr. intermedia;Hybrid-troldnød
Heptacodium miconioides;Himlens syv sønner
Hibiscus syriacus;Syrisk rose
Hippophaë rhamnoides;Havtorn
Hydrangea arboreum;Hortensia
Ilex aquifolium;Almindelig kristtorn
Ilex meserveae;Blågrøn kristtorn
Juglans nigra;Sort valnød
Juglans regia;Almindelig valnød
Juniperus communis;Almindelig ene
Juniperus virginiana;Blyant-ene
Kerria japonica;Ranunkelbusk
Koelreuteria paniculata;Kinesertræ
Kolkwitzia amabilis;Dronningebusk
Laburnum hybr. watereri;Hybrid-guldregn
Larix decidua;Europæisk lærk
Larix hybr. eurolepis;Hybrid-lærk
Larix kaempferi;Japansk lærk
Liquidambar styraciflua;Virginsk ambratræ
Liriodendron tulipifera;Almindelig tulipantræ
Maclura pomifera;Orangemorbær
Magnolia hybr.;NA
Magnolia hybr. loebneri;Magnolie hybr. loebneri
Magnolia hybr. soulangeana;Almindelig magnolie
Magnolia hybr. thompsoniana;NA
Magnolia kobus;Japansk magnolie
Malus baccata;Paradisæble
Malus domestica;Almindelig æble
Malus hybr.;Paradisæble
Malus hybr. floribunda;Japansk paradisæble
Malus hybr. robusta;Paradisæble
Malus ioensis;NA
Malus sargentii;Sargents æble
Malus sieboldii;Japansk prydæble
Malus sylvestris;Skovæble
Malus toringo;Japansk prydæble
Malus trilobata;NA
Malus tschonoskii;Fujiyama-æble
Mespilus germanica;Mispel
Metasequoia glyptostroboides;Vandgran
Morus alba;Hvid morbær
Morus nigra;Sort morbær
