art;variant;sort;dansk_navn;n
Malus hybr.;NA;Evereste;Paradisæble 'Evereste';331
Prunus hybr. yedoensis;NA;NA;Yoshino-kirsebær;214
Prunus padus;NA;Select;Almindelig hæg, enstammet;193
Populus simonii;NA;Fastgiata;Simon-poppel;137
Malus hybr.;NA;Braendkjaer;Paradisæble 'Braendkjaer';114
Prunus padus;NA;NA;Almindelig hæg;105
Ulmus hybr.;NA;Columella;Elm 'Columella';95
Crataegus prunifolia;NA;NA;Blommebladet tjørn;91
Pyrus calleryana;NA;Chanticleer;Kinapære;86
Malus sieboldii;NA;Hesse;Japansk prydæble 'Hesse';85
Crataegus lavallei;NA;NA;Glansbladet tjørn;82
Prunus cerasifera;NA;Nigra;Blodblomme;82
Malus hybr.;NA;Butterball;Paradisæble 'Butterball';80
Malus sylvestris;NA;NA;Skovæble;80
Malus baccata;NA;Street Parade;Paradisæble 'Street Parade';70
Amelanchier canadensis;NA;NA;Almindelig bærmispel;65
Pyrus caucasica;NA;NA;Prydpære;58
Malus hybr.;NA;Gorgeous;Paradisæble 'Gorgeous';57
Prunus cerasifera;NA;NA;Kirsebærblomme/mirabel;55
Malus hybr. floribunda;NA;NA;Japansk paradisæble;51
Styphnolobium japonica;NA;NA;Pagodetræ;50
Malus sieboldii;NA;NA;Japansk prydæble;46
Juglans regia;NA;NA;Almindelig valnød;45
Sorbus commixta;NA;Dodong;Storblomstret japansk røn;45
Crataegus crus-galli;NA;NA;Hanesporetjørn;42
Paulownia tomentosa;NA;NA;Kejsertræ;39
Pterocarya fraxinifolia;NA;NA;Kaukasisk vingevalnød;39
Sorbus americana;NA;NA;Amerikansk røn;38
Malus toringo;NA;NA;Japansk prydæble;35
Fraxinus americana;NA;Skyline;Amerikansk ask 'Skyline';31
Nothofagus antarctica;NA;NA;Antarktisk sydbøg;30
Pyrus communis;NA;Beech Hill;Almindelig pære;30
Malus hybr.;NA;John Downie;Paradisæble 'John Downie';27
Sorbus commixta;NA;NA;Japansk røn;27
Malus hybr.;NA;Red Sentinel;Paradisæble 'Red Sentinel';26
Koelreuteria paniculata;NA;NA;Kinesertræ;24
Magnolia kobus;NA;NA;Japansk magnolie;24
Amelanchier arborea;NA;Robin Hill;Enstammet bærmispel;23
Ilex meserveae;NA;NA;Blågrøn kristtorn;23
Acer ginnala;NA;NA;Ildløn;22
Malus baccata;NA;Akso;Paradisæble 'Akso';22
Pyrus calleryana;NA;NA;Kinapære;22
Ulmus hybr.;NA;Fiorente;Elm 'Fiorente';22
Aesculus hybr. carnea;NA;NA;Rød hestekastanje;21
Magnolia hybr. soulangeana;NA;NA;Almindelig magnolie;21
Nyssa sylvatica;NA;NA;Tupelotræ;21
Acer griseum;NA;NA;Papirbarkløn;20
Morus nigra;NA;NA;Sort morbær;20
Prunus serrulata;NA;Amanogawa;Japansk søjlekirsebær;20
Prunus serrulata;NA;Kanzan;Japansk kirsebær;20
Ilex aquifolium;NA;NA;Almindelig kristtorn;19
Malus hybr.;NA;Elstar;Paradisæble 'Elstar';19
Prunus domestica;ssp. insisitia;NA;Kræge;18
Salix aurita;NA;NA;Øret pil;18
Acer hybr. freemanii;NA;Elegant;Freeman-løn;17
Acer rubrum;NA;NA;Rød løn;17
Cydonia oblonga;NA;NA;Almindelig kvæde;17
Davidia involucrata;NA;NA;Duetræ;17
Malus hybr.;NA;Dir. Moerland;Paradisæble 'Dir. Moerland';17
Malus hybr.;NA;Rudolf;Paradisæble 'Rudolf';17
Prunus domestica;NA;Ouillins Reine Claude;Blomme 'Ouillins Reine Claude';17
Prunus sargentii;NA;NA;Sakhalinkirsebær;17
