|scientific_name                  |common_name              |n  |
|---------------------------------|-------------------------|---|
|Malus hybr.                      |Paradisæble              |748|
|Pinus sylvestris                 |Skovfyr                  |354|
|Prunus padus                     |Almindelig hæg           |314|
|Prunus hybr. yedoensis           |Yoshino-kirsebær         |252|
|Prunus cerasifera                |Mirabel                  |159|
|Malus sieboldii                  |Japansk prydæble         |138|
|Populus simonii                  |Kinesisk poppel          |136|
|Pinus nigra                      |Sortfyr                  |132|
|Ulmus hybr.                      |Hybridelm                |127|
|Picea omorika                    |Serbisk gran             |108|
|Pyrus calleryana                 |Kinapære                 |103|
|Larix kaempferi                  |Japansk lærk             |100|
|Malus baccata                    |Bæræble                  |96 |
|Pinus cembra                     |Cembra-fyr               |93 |
|Crataegus prunifolia             |Blommetbladet hvidtjørn  |92 |
|Malus sylvestris                 |Skovæble                 |89 |
|Crataegus lavallei               |Glansbladet hvidtjørn    |87 |
|Taxus baccata                    |Almindelig taks          |81 |
|Amelanchier canadensis           |Canadisk bærmispel       |65 |
|Pyrus communis                   |Almindelig pære          |57 |
|Pyrus caucasica                  |Prydpære                 |57 |
|Malus hybr. floribunda           |Japansk paradisæble      |51 |
|Styphnolobium japonica           |Pagodetræ                |50 |
|Prunus domestica                 |Blomme                   |48 |
|Juglans regia                    |Almindelig valnød        |46 |
|Sorbus commixta                  |Storblomstret japansk røn|46 |
|Fraxinus americana               |Amerikansk ask           |46 |
|Pinus mugo                       |Bjergfyr                 |44 |
|Crataegus crus-galli             |Hanesporehvidtjørn       |43 |
|Sorbus americana                 |Amerikansk røn           |40 |
|Pterocarya fraxinifolia          |Kaukasisk vingevalnød    |39 |
|Paulownia tomentosa              |Kejsertræ                |39 |
|Larix hybr. eurolepis            |Hybridlærk               |38 |
|Sorbus commixta                  |Japansk røn              |37 |
|Larix decidua                    |Europæisk lærk           |37 |
|Malus toringo                    |Japansk prydæble         |35 |
|Prunus sargentii                 |Sakhalinkirsebær         |33 |
|Aesculus hybr. carnea            |Rød hestekastanje        |33 |
|Taxodium distichum               |Almindelig sumpcypres    |33 |
|Nothofagus antarctica            |Antarktisk sydbøg        |30 |
|Magnolia hybr. soulangeana       |Almindelig magnolia      |27 |
|Prunus serrulata                 |Japansk kirsebær         |27 |
|Amelanchier arborea              |Enstammet bærmispel      |26 |
|Salix fragilis                   |Skørpil                  |24 |
|Koelreuteria paniculata          |Kinesertræ               |24 |
|Ribes rubrum                     |Haveribs                 |23 |
|Ilex meserveae                   |Blågrøn kristtorn        |23 |
|Chamaecyparis lawsoniana         |Ædelcypres               |22 |
|Acer ginnala                     |Ildløn                   |22 |
|Abies procera                    |Sølvædelgran             |22 |
|Prunus serrulata                 |Japansk søjlekirsebær    |22 |
|Nyssa sylvatica                  |Tupelotræ                |21 |
|Magnolia kobus                   |Japansk magnolia         |21 |
